age#height#weight#sex#activity_domain#effort_level#avg_speed#distance
35,2.25517,45,1,4,1,9.97101,3.24275
48,1.9435,43,0,4,4,12.4209,12.6275
32,1.37139,49,1,5,3,12.0831,10.8763
31,1.81647,39,1,3,3,10.66,4.63719
56,1.57358,145,0,1,2,4.28417,3.54985
33,2.06876,56,0,4,1,9.62932,11.438
36,1.66886,84,1,5,4,11.1453,16.0889
53,2.13124,90,1,1,5,11.3168,11.1011
53,1.49094,96,0,2,1,5.20212,4.63155
80,2.02223,103,0,5,1,6.36284,2.16568
22,2.06154,112,0,5,2,7.53954,5.1261
50,2.16796,127,1,6,2,6.6606,2.2411
17,2.27416,91,0,5,1,6.15434,3.06665
42,2.09931,124,0,3,2,6.67806,2.46675
63,1.50591,74,0,3,5,10.4973,7.46825
21,1.92849,43,0,5,4,12.9922,9.93628
46,1.41438,68,0,2,5,12.3414,16.6194
69,1.49694,132,1,1,3,5.13811,6.4602
44,1.91525,69,0,3,3,11.2862,12.2633
24,1.55351,138,0,5,3,6.81214,3.52159
73,1.94074,86,1,3,5,12.3032,14.1166
68,2.03795,98,1,4,4,8.63424,7.25474
78,1.67966,123,0,6,3,7.83465,10.6384
60,1.5272,155,0,6,5,6.99567,6.79529
47,2.28459,128,0,1,5,9.67308,11.8072
70,1.8588,161,1,3,5,7.59051,4.57107
54,1.57266,89,0,3,2,7.99378,7.79413
65,1.64462,83,0,1,2,9.07796,8.21609
36,1.81085,141,1,1,3,6.54212,7.08551
58,2.0025,78,1,6,5,12.2795,10.7963
41,2.25117,36,1,1,2,9.71571,10.9633
61,1.94717,104,0,6,4,9.22853,8.10874
74,1.70614,62,0,3,4,10.7745,10.8972
36,1.40079,87,1,5,1,7.87047,7.24687
40,2.21157,109,1,1,5,10.1658,10.0318
22,2.20411,170,0,4,3,7.81267,7.76035
27,1.75697,117,0,4,5,10.9864,9.27881
77,1.59756,79,1,2,3,9.98098,9.33935
23,1.64498,54,0,1,4,12.8104,18.6382
25,1.75759,131,1,1,3,6.98799,8.84791
75,1.50781,83,0,2,5,11.2228,11.8267
58,2.23263,50,1,5,2,9.56568,9.14498
38,1.52061,144,1,6,5,7.74178,11.2759
71,1.63418,150,1,4,3,5.55848,5.86339
26,1.76269,92,1,3,4,9.68427,12.5865
41,2.0861,49,1,4,5,12.7377,8.06342
48,1.92031,66,1,3,4,13.4335,11.8815
20,1.46453,85,1,4,3,10.1269,5.76695
20,2.08293,39,1,2,5,12.9754,9.20523
58,1.95885,130,1,5,3,7.30327,4.7886
70,2.2591,50,0,2,1,8.61504,7.40233
69,1.97008,124,1,5,5,9.85033,11.4031
53,2.11817,49,1,5,2,9.27496,5.17609
57,2.08009,142,0,6,1,4.14598,3.05059
35,1.87835,85,0,1,3,9.512,7.29799
24,1.89443,71,0,4,2,9.60137,4.28108
22,1.42082,139,1,1,4,7.46102,5.09308
27,1.63138,110,0,5,1,6.22798,2.39852
40,2.22856,159,1,2,4,6.45566,7.08238
71,2.21897,120,0,6,4,8.91694,11.6901
73,1.68812,94,0,6,3,8.09808,9.00353
32,1.93563,119,1,4,1,7.17847,4.28517
22,1.35877,148,0,5,2,5.59541,4.49177
37,1.73594,60,1,2,2,9.8853,10.3822
25,2.2466,124,1,6,1,6.93582,1.70369
63,1.56331,92,0,4,5,10.2413,9.99661
27,1.69533,139,0,1,2,6.16479,5.33086
78,1.56294,115,0,4,4,8.1151,4.64653
78,2.1053,167,0,1,3,5.80456,6.54781
28,1.49577,83,0,2,5,12.9282,16.4024
45,1.78818,119,1,5,1,5.60836,5.36854
76,1.94907,77,1,3,1,7.52279,3.52566
30,1.79426,99,0,3,1,7.14492,2.72379
55,1.53342,62,0,6,4,11.1944,12.2347
64,2.08433,53,1,1,5,12.1653,19.3695
52,2.10821,160,1,5,5,7.34629,11.1199
37,1.9257,80,0,2,4,10.8341,15.237
41,1.75321,35,1,1,4,11.4922,6.0211
33,1.94946,145,1,4,1,4.32315,4.18401
78,1.4798,103,1,5,5,9.1605,12.963
46,1.64313,60,1,5,1,8.71261,6.89572
56,2.09678,176,0,6,3,6.25826,7.78744
72,1.95942,170,0,5,1,4.00083,2.84399
48,2.26626,93,1,2,2,7.97207,4.33511
50,1.52881,122,1,6,3,6.73918,9.1353
63,1.65416,94,0,3,4,9.5767,5.89501
66,1.70617,47,1,6,2,9.8104,3.64323
31,1.75897,133,1,6,4,8.10782,8.42706
60,1.84957,171,0,2,5,8.66009,5.82198
32,1.53203,63,1,3,5,13.2301,11.8366
43,1.58936,59,1,4,4,12.0799,13.5536
59,1.91714,36,1,4,4,10.7723,7.11753
23,1.86281,69,0,6,1,10.0088,4.6944
35,1.68509,163,0,2,2,5.55661,4.43941
68,1.58582,95,1,4,4,7.58308,8.88532
45,1.48403,56,1,2,2,9.37637,7.71389
19,2.28359,134,1,2,2,5.48402,2.02145
30,1.44827,149,1,4,2,5.48731,1.78805
39,1.62073,40,0,3,2,10.0654,5.76424
37,2.25428,139,1,2,5,8.11639,7.11164
78,2.24695,67,0,5,2,9.22615,5.46091
58,1.51387,64,0,6,3,10.1729,13.8459
43,2.25622,118,0,4,5,11.1036,17.1857
50,1.90958,107,1,2,3,7.10233,8.17165
